뉴스제목,주가변동
경제지표 부진에도 'G2관계 개선' 기대에…항셍 4%↑,0
"코스피, ‘개인 홀로 매수세’에 2480선 마감...코스닥 2%대 상승",0
"코스피, 등락 끝에 0.23% 상승 마감 2480선",0
"코스피, 차익 매물에 숨고르기…0.23%↑",0
"국내증시 상승+역외 달러 매도…환율, 1310원대 하락 전",0
"'투자 귀재' 버핏, 반도체 투자 훈풍에 2.1%↑…740선",0
"미·중 갈등 완화 기대감…홍콩 항셍, 3%대 강세",0
“코스피 2500포인트 깔딱고개…내년 실적주 순환매 주목해야”,0
"""코스피 소폭 하락 출발 예상""",0
"강달러 속 위험회피…환율, 1320원대 추가 상승 시도",0
"해외 채권형 펀드, 11거래일간 8514억원 순유출",0
인플레·금리 '불확실성'에 증시랠리 '일단 정지' [뉴욕마감](종합),0
"美증시 랠리 '일단 정지'...""당분간 혼란예상""",0
"뉴욕증시, 단기랠리 후 숨고르기…尹, 오늘 G20 연설",0
美 10년 국채 한때 3.9%…나스닥 -0.56% 출발,0
경제지표 부진에도 'G2관계 개선' 기대에…항셍 4%↑,0
"코스피, ‘개인 홀로 매수세’에 2480선 마감...코스닥 2%대 상승",0
"코스피, 등락 끝에 0.23% 상승 마감 2480선",0
"코스피, 차익 매물에 숨고르기…0.23%↑",0
"국내증시 상승+역외 달러 매도…환율, 1310원대 하락 전",0
"'투자 귀재' 버핏, 반도체 투자 훈풍에 2.1%↑…740선",0
"미·중 갈등 완화 기대감…홍콩 항셍, 3%대 강세",0
“코스피 2500포인트 깔딱고개…내년 실적주 순환매 주목해야”,0
"""코스피 소폭 하락 출발 예상""",0
"강달러 속 위험회피…환율, 1320원대 추가 상승 시도",0
"해외 채권형 펀드, 11거래일간 8514억원 순유출",0
인플레·금리 '불확실성'에 증시랠리 '일단 정지' [뉴욕마감](종합),0
"美증시 랠리 '일단 정지'...""당분간 혼란예상""",0
"뉴욕증시, 단기랠리 후 숨고르기…尹, 오늘 G20 연설",0
美 10년 국채 한때 3.9%…나스닥 -0.56% 출발,0
장 초반 하락세 獨 0.23%↓,0
"""中 정부, 부동산 시장 못 살린다""…상하이, 0.45%↓",0
"하루 만에 다시 하락한 코스피, 2470선 약보합 마감",0
"코스피, 0.12% 하락 2477선…지정학적 긴장감 줄며 낙폭 축소",0
"코스피, 기관 '팔자' 2470선 약보합",0
달러↑·러-우 리스크에 약보합… 743선,0
"율, 7원 가량 올라 1320원대 상승…위험회피+위안화 약세",0
러 둘러싼 지정학 리스크에 닛케이 ↓,0
"물가 정점 기대 vs 지정학 위험 고조…환율, 1310원대 방향성 탐색",0
"美 PPI 둔화에 Fed 속도조절 기대…""국내 증시 상승 흐름""",0
인플레 둔화기대감에 美증시UP...월마트 6.5%↑,0
폴란드에 러 추정 미사일 떨어져…오늘 수능 예비소집일,0
"해외 채권형 펀드, 12거래일간 8610억원 순유출",0
월마트·PPI·미중 회담 덕…나스닥 2.44% 출발,0
장 초반 하락세 獨 0.23%↓,0
"""中 정부, 부동산 시장 못 살린다""…상하이, 0.45%↓",0
"하루 만에 다시 하락한 코스피, 2470선 약보합 마감",0
"코스피, 0.12% 하락 2477선…지정학적 긴장감 줄며 낙폭 축소",0
"코스피, 기관 '팔자' 2470선 약보합",0
달러↑·러-우 리스크에 약보합… 743선,0
"율, 7원 가량 올라 1320원대 상승…위험회피+위안화 약세",0
러 둘러싼 지정학 리스크에 닛케이 ↓,0
"물가 정점 기대 vs 지정학 위험 고조…환율, 1310원대 방향성 탐색",0
"美 PPI 둔화에 Fed 속도조절 기대…""국내 증시 상승 흐름""",0
인플레 둔화기대감에 美증시UP...월마트 6.5%↑,0
폴란드에 러 추정 미사일 떨어져…오늘 수능 예비소집일,0
"해외 채권형 펀드, 12거래일간 8610억원 순유출",0
월마트·PPI·미중 회담 덕…나스닥 2.44% 출발,0
코스피 1% 넘게 하락…타깃 쇼크에 국내외 기관 매물 쏟아져,0
초반 오름세…獨 0.9%↑,0
"코스피, 외인·기관 매도세에 1.39% 하락…반도체주 부진",0
"코스피, 외인·기관 매도에 1.3% 하락...2440선 후퇴",0
"불안한 반도체·중국발 침체 우려에…닛케이, 0.35%↓",0
"율, 14원 가량 급등해 1330원대…강달러 전환+달러 매수 우위",0
美증시 약세 영향…줄줄이 하락,0
타깃·마이크론 쇼크에 美 증시 하락…코스피 업종별 차별화 예상,0
"中 위안화 약세+위험회피 심리…환율, 1330원 후반대 개장",0
美증시 낙관론 '흔들'...'실적쇼크' 타겟 13%↓[뉴욕마감](종합),0
"""수험생 여러분 힘내세요""…우유값 인상·빈 살만 방한",0
"타겟 '어닝쇼크'에 투자심리 흔들...""경기침체 오나""",0
"해외 채권형 펀드, 13거래일간 8738억원 순유출",0
“타깃발 연휴 수요둔화 우려”…나스닥 -1.59% 출발,0
코스피 1% 넘게 하락…타깃 쇼크에 국내외 기관 매물 쏟아져,0
초반 오름세…獨 0.9%↑,0
"코스피, 외인·기관 매도세에 1.39% 하락…반도체주 부진",0
"코스피, 외인·기관 매도에 1.3% 하락...2440선 후퇴",0
"불안한 반도체·중국발 침체 우려에…닛케이, 0.35%↓",0
"율, 14원 가량 급등해 1330원대…강달러 전환+달러 매수 우위",0
美증시 약세 영향…줄줄이 하락,0
타깃·마이크론 쇼크에 美 증시 하락…코스피 업종별 차별화 예상,0
"中 위안화 약세+위험회피 심리…환율, 1330원 후반대 개장",0
美증시 낙관론 '흔들'...'실적쇼크' 타겟 13%↓[뉴욕마감](종합),0
"""수험생 여러분 힘내세요""…우유값 인상·빈 살만 방한",0
"타겟 '어닝쇼크'에 투자심리 흔들...""경기침체 오나""",0
"해외 채권형 펀드, 13거래일간 8738억원 순유출",0
“타깃발 연휴 수요둔화 우려”…나스닥 -1.59% 출발,0
장 초반 일제히 상승세…獨 0.43%↑,1
"코스피, 2470선 하락 마감… FTX 악재에 가상화폐株 ‘급락’",1
日·中 하락에도…상승세 이어가는 홍콩,1
"코스피, 차익실현 물량에 0.34% 하락한 2474선 마감",1
"코스피, 기관 '팔자'에 2470선 하락",1
"지난주 급락 되돌림+저가 매수…환율, 1320원대로 상승",1
숨 고르며 약세 전환…‘720선’,1
"닛케이, 미중 첫 대면회담 앞두고 관망세",1
"처럼 웃은 코스피, 2500선 뚫을까",1
"율, 1310원대 2거래일째 하락 전망…위험선호 연장",1
"해외 채권형 펀드, 10거래일간 8406억원 순유출",1
장 초반 일제히 상승세…獨 0.43%↑,1
"코스피, 2470선 하락 마감… FTX 악재에 가상화폐株 ‘급락’",1
日·中 하락에도…상승세 이어가는 홍콩,1
"코스피, 차익실현 물량에 0.34% 하락한 2474선 마감",1
"코스피, 기관 '팔자'에 2470선 하락",1
"지난주 급락 되돌림+저가 매수…환율, 1320원대로 상승",1
숨 고르며 약세 전환…‘720선’,1
"닛케이, 미중 첫 대면회담 앞두고 관망세",1
"처럼 웃은 코스피, 2500선 뚫을까",1
"율, 1310원대 2거래일째 하락 전망…위험선호 연장",1
"해외 채권형 펀드, 10거래일간 8406억원 순유출",1
국내 환율 마감시황,0
국내 채권금리 동향(마감),0
"'레고랜드 사태, 본말전도'… ""원인 제공자 제쳐두고 불 끄러 온 소방수 비난""",0
전일 3분기 실적 발표 주요 기업(2022.11.14 발표),0
"""코스피 소폭 하락 출발 예상""",0
국제유가 마감시황,0
증시요약(6) - 특징 상한가 및 급등종목,0
증시요약(7) - 기술적 분석 특징주 A(코스피),0
"KB손해보험, 무디스 ‘A2(안정적)’ 신용등급 획득",0
오전장 기술적 분석 특징주 A(코스피),0
증시요약(8) - 기술적 분석 특징주 B(코스피),0
숨고르기…다우 0.6%·나스닥 1.1% 하락,0
증시요약(10) - 기술적 분석 특징주 B(코스닥),0
오전장 기술적 분석 특징주 A(코스피),0
증시요약(9) - 기술적 분석 특징주 A(코스닥),0
뉴욕 마감시황,0
전일 장마감 후 주요 종목 공시,0
오후장 기술적 분석 특징주 A(코스닥),0
오전장 기술적 분석 특징주 B(코스닥),0
공매도 줄어드는 삼성전자…7만전자 넘볼까,0
"코스피 외국인 순매수,도 상위20종목",0
다시 고개 드는 신재생에너지株,0
"""긴축 속도조절, 만능키 아니다""…나스닥 1.1%↓",0
오전장 기술적 분석 특징주 B(코스피),0
오전장 기술적 분석 특징주 B(코스피),0
오전장 기술적 분석 특징주 A(코스닥),0
오전장 기술적 분석 특징주 B(코스닥),0
"코스피 기관 순매수,도 상위20종목",0
차익매물 소화 과정…2480선 강보합,0
오후장 기술적 분석 특징주 A(코스피),0
미국 테마시황,0
"코스피, 2480선 사수…코스닥 2%대 상승 마감",0
