뉴스제목,주가변동
뉴욕증시 1%대 급락…추가 금리인하 기대에 파월 '찬물',0
"키움증권, 솔브레인 주주 소송단 갈등 고조…고의성·공매도 의혹 VS ...",0
올 상반기 은행계 증권사 순이익 증가율 톱은 '하나금투',0
카카오에 안기는 바로증권 바빠졌네,0
"미 연준, 11년 만에 기준금리 0.25%p 인하",0
매 발톱 숨긴 파월…한은 기준금리 추가 인하 기대감,0
"권영탁 핀크 신임대표 ""통신데이터 활용해 1800만 대출절벽 없앨것""",0
"롯데손보 인수자 JKL, 금융당국에 대주주심사 신청",0
반기보고서 마감 임박…상장폐지 주의보,0
1일 장 마감 후 주요 종목 뉴스,0
보험설계사 '몰빵' 판매수당에 칼댄다…사업비 줄여 보험료도 3%↓(종...,0
부동산펀드 5년 투자하니 '90%' 버네,0
"파미셀, 첨생법 국회 법사위 통과에 상승세",0
"""대우건설, 영업익 부진에 부동산규제 리스크도…목표가↓""-한화證",0
"여성의류 브랜드 '트위', 결국 법원행",0
"日 금융보복?…韓 ""만반의 준비했다""",0
자회사 덕보는 효성그룹株 '훨훨',0
두올산업 퇴출심사 대상 되나,0
"""공적 임대주택 투자 리츠사업 나설 것""",0
"""美, 추세적 금리인하 아냐""…파월 발언에 채권 실망매물",0
파미셀,0
"""반도체 업황 바닥 근접""…삼성전자 반등론 '솔솔'",0
"SK네트웍스, 영업이익 144% 늘어난 521억",0
'결제 시스템의 진화'…손바닥·손가락 이어 얼굴 인식,0
'사업비 거품' 제동…내년 보험료 최대 4% 싸진다,0
'2019 한경 생애자산관리 대상' 공모,0
"기업銀 ""금융 플랫폼 'IBK박스'로 中企 지원""",0
'IB 강화' 발로 뛰는 금융 CEO…조용병·이동걸 회장 등 런던행,0
"배달의민족 가맹 외식업주…경남은행, 저리 대출 지원",0
'年 4조원 운용' 울산시금고 선정작업 돌입,0
"감사위원회포럼, 29일 정기포럼",0
슈프리마아이디 및 한국바이오젠 코스닥 상장,0
코스피 7개월 만에 최저치,0
"이주열 한은 총재 ""미국 연준, 예상보다 덜 완화적""",0
"암·종신보험 등 보장성보험료, 내년 4월부터 2~3% 내린다",0
"KCGI, 한진칼 샅바 놓치나…백기사 델타항공 세 불려",0
"국민은행, 외식 자영업자에 450억 신규 보증",0
"IBK기업은행, 중소기업 상생 플랫폼 '박스' 내놔",0
5대은행 연 2%대 정기예금 6개뿐…연 1%대 금리 시대,0
"인포마크, 모바일 라우터 '에그 톡' 출시…파파고 탑재",0
"""아 덥고 습하다""…여의도 증권맨들 '칼정장 싫다'",0
"윤석헌 금감원장 ""일본계 자금동향 모니터링할 것""",0
수출규제 피해 기업에 만기연장·대출확대,0
"금융당국, 내일 금융기관장 소집…대응책 마련",0
증시 폭락 속 뜨는 반도체 장비주는?,0
日 증시도 타격…닛케이 2%대 하락,0
"코스피 여전히 1995선…""변동성 높아져""",0
탄력받는 애국테마주…모나미·신성통상 등 급등...,0
"코스피, 장중 2000선 회복…코스닥은 낙폭 축소",0
현대모비스 SK텔리콤 엔씨소프트 만도,0
미·일 불확실성에 8월 금융시장 '시계제로',0
"中 '기술굴기' 전진…전세계 AI 투자 70%, 전기차 점유 47%",0
미·일 겹악재에 韓 금융시장 시계제로,0
빅데이터·AI 활용 서비스 제공…투자도 '인공지능'이 하는 시대,0
"중금리 대출 시장, 머신러닝 기반 CSS로 신용평가 시스템 고도화",0
인슈어테크가 불러온 변화…카톡으로 보험 가입하는 시대 '눈앞',0
신라젠 임상중단…바이오 끝없는 추락,0
日 수출규제 피해기업에 대출 일괄 연장 및 신규자금 공급,0
"日 금융보복? ""가능성 낮고, 현실화돼도 불편한 정도""",0
안전자산 선호↑…국고채 3년물 3년만에 최저,0
"수출입銀, 멕시코서 페소화 채권 4400억 발행",0
온라인펀드 자산 올 2.5兆 늘었다,0
"SKT, 5G 비용에 영업이익 6.9% 감소",0
"현대무벡스, 연내 코스닥 상장 추진",0
"반등하는 한국전력, 경기방어株 매력 부각되나",0
KC코오롱PI,0
"미국 펀드, 설마 꼭지?",0
안전자산 선호심리…채권시장은 '훨훨',0
"'악재 쓰나미'에 증시 비관론 팽배…""바닥 어딘지 가늠 안 돼""",0
일본發 쇼크…원·엔 환율 31원 급등…코스피도 7개월 만에 2000선 '붕...,0
2분기 카드 사용액 214조원 '역대 최대',0
"JB금융, 상반기 순익 2143억…지주 설립 이후 '최대'",0
이번엔 팔릴까…KDB생명 네 번째 매각 '시동',0
예적금 '막차' 아직 못 탔다면? 광복절 특판상품...,0
"""진에어, 성수기에도 걷히지 않은 먹구름""",0
"BNK부산은행-KT, 업무협약",0
"금융당국, 3일 '일 화이트리스트 배제' 민관 대책회의 소집",0
무역 겹악재에 원화가치 2년7개월 만에 최저치,0
2일 장 마감 후 주요 공시,0
"""경기 위축에 부실 더 커져""···은행권, 일제히 긴급대응",0
격해지는 미중무역갈등에 위안화·아시아 주가 '뚝뚝',0
"""지금 사야할 아파트는?""",0
"일본계은행 신용장 보증중단, 국내 금융시스템 영향 제한적",0
"웅진코웨이 인수전, 숏리스트 4파전…자금력이 관건",0
코스피 4일째 급락…기관 방어 '역부족',0
지지부진한 카드사 '테이블 오더' 사업…네이버에 밥그릇 뺏기나,0
"캐리소프트, '캐리언니' 흥행 이어 투심도 잡을까",0
