뉴스제목,주가변동
슈프리마아이디 및 한국바이오젠 코스닥 상장,0
"이주열 한은 총재 ""미국 연준, 예상보다 덜 완화적""",0
"뉴욕증시, 연준 금리 경로 불확실성 속 상승 출발",0
美 실업수당 청구 21만5000건..예상치 상회,0
"英 중앙은행, 올해 성장률 1.3%로 하향조정..기준금리는 동결",0
숙박앱 '여기어때' 英사모펀드에 팔린다,0
"솔브레인 투자자들, 키움증권 형사 고소",0
"인포마크, 모바일 라우터 '에그 톡' 출시..파파고 탑재",0
1일 장 마감 후 주요 종목 뉴스,0
감정 싸움된 에스엠 주주서한..본질 두고 엇갈린 해석,0
"여기어때 ""英 사모펀드 CVC캐피털과 매각 협상 진행 중""",0
"한류타임즈 ""이락범 전 회장 등 전 경영진 횡령 혐의로 고소""",0
코스피 2000선 위태위태..코스닥 1%대 급락,0
아시아 주요 증시 동향(8월 1일),0
"한류타임즈, 전 경영진 261억 횡령혐의로 고소",0
장 마감 후 기업공시,0
"KB자산운용, ""리드코프 지분 16.90%에서 6.77%로 감소""",0
"로스웰, 133억원 규모 손자회사 대여금 만기 연장",0
한국공항 2분기 영업이익 55억원..전년比 9.32% 감소,0
"미래에셋자산운용 ""에스엠 지분율 5.01%→4.97%""",0
글로벌 큰손들 '검은 연기 내뿜는 기업' 투자 외면,0
"금리인하·호실적 전망에도 '증시 부진', 힘 못쓰는 증권주",0
1000원 팔아 고작 59원 이윤.. 1년새 반토막난 수익성,0
"STX, 23억 규모 전환사채 발행 결정",0
"01일, 기관 코스닥에서 셀트리온헬스케어(-1.73%), 서울반도체(-10.84%) 등 순매도",0
"01일, 코스닥 외국인 순매도상위에 통신장비 업종 3종목",0
"01일, 기관 코스닥에서 JYP Ent.(+3.19%), 솔브레인(+7.54%) 등 순매수",0
"01일, 코스닥 외국인 순매수상위에 제약 업종 3종목",0
"01일, 기관 거래소에서 SK하이닉스(+1.04%), LG생활건강(-0.24%) 등 순매도",0
"01일, 외국인 거래소에서 삼성전자(-0.33%), 삼성전자우(-1.08%) 등 순매도",0
"뉴욕증시, 무역전쟁 우려 지속 하락 출발",0
美 6월 무역적자 552억달러,0
美 7월 비농업부문 취업자 수 16.4만명 ↑,0
미국 7월 실업률 3.7%..예상치 웃돌아,0
2일 장 마감 후 주요 공시,0
한일 경제전쟁·미중 무역협상..연속 악재에 금융시장 출렁,0
아시아 주요 증시 동향(8월 2일),0
"코스피 2,000선 붕괴..日증시, 2% 급락",0
"코리안리, 원종규 사장 보통주 30만2634주 취득",0
장 마감 후 기업공시,0
"무디스 ""韓 화이트리스트 배제, 다수 한국기업 신용도에 부정적""",0
"송민철 유안타증권 매니저 ""고객 자산 맡아 3개월 만에 수익률 20%""",0
"02일, 코스닥 기관 순매도상위에 제약 업종 4종목",0
"02일, 외국인 코스닥에서 동진쎄미켐(+0.35%), 솔브레인(0.00%) 등 순매도",0
"02일, 기관 코스닥에서 동진쎄미켐(+0.35%), SKC코오롱PI(+8.62%) 등 순매수",0
"02일, 외국인 코스닥에서 파트론(+7.31%), 셀트리온헬스케어(-2.64%) 등 순매수",0
"02일, 기관 거래소에서 KODEX 레버리지(-2.07%), KODEX 코스닥150 레버리지(-7.05%) 등 순매도",0
"02일, 외국인 거래소에서 삼성전자(-0.55%), SK하이닉스(-2.06%) 등 순매도",0
"02일, 기관 거래소에서 삼성전자(-0.55%), KODEX 200선물인버스2X(+2.23%) 등 순매수",0
"02일, 거래소 외국인 순매수상위에 서비스업 업종 4종목",0
"日교세라, 생산물량 중국→베트남 이전 검토..미중 무역갈등 여파",0
투자주체별 매매동향(8월 2일-최종치),0
코스닥 기관·외국인·개인 순매수·도 상위종목(8월 2일-최종치),0
"거래소 ""필로시스헬스케어 불성실공시법인 지정""",0
"거래소 ""리퓨어유니맥스 불성실공시법인 지정""",0
"아이텍 ""주총 소집결의외 주가급락 관련 중요 정보 없다""",0
유가증권 기관·외국인·개인 순매수·도 상위종목(8월 2일-최종치),0
코스피 7개월만에 2000 붕괴..10월까진 증시 불확실성 지속,0
"나스미디어, 2분기 영업이익 82억..전년비 29.4%↑",0
"네오팜, 2분기 영업익 60억..전년비 39.4%↑",0
뉴욕 증시도 '검은 월요일'..무역분쟁 먹구름에 급락,0
"뉴욕증시, 무역전쟁·환율전쟁으로 확전 공포 급락 출발",0
"트럼프, 中 외환정책 비판..""7위안 돌파는 환율 조작""",0
"트럼프 美 대통령 ""중국 위안화 약세는 환율조작""",0
쌍용차 임원 20% 감원 등 경영쇄신,0
"코넥스, 107개 종목 거래..거래대금 1위 '툴젠'",0
회장님 유튜브 방송에 지옥과 천당 오간 에이치엘비,0
"日, 유치원 무상교육에 재일유치원 제외",0
한·미 연합훈련..북 추가도발 우려에 대북株 털썩,0
세미콘라이트 대표이사에 박일홍씨,0
"모두투어, 2분기 영업손실 2억원..적자 전환",0
5일 장 마감 후 주요 종목 뉴스,0
아시아 주요 증시 동향(8월 5일),0
쏟아진 악재에 패닉 장세 빠진 금융시장..기업별 영향은?,0
'검은 월요일' 패닉증시..코스피 2%·코스닥 7% 동반 급락,0
"케이알피앤이, 리켐 대상 100억 전환사채 발행",0
'日규제 한달' 시름 깊어지는 항공株 ..연중 최저점 잇따라,0
"원익IPS, 2분기 영업익..342억원..전년비 25.6%↓",0
"에코마케팅, 2분기 영업익 81억..192%↑",0
"케이알피앤이, 리켐 대상 100억원 전환사채 발행",0
"코스피 15% 급락 .. 文정부 2년, 역대 대통령 중 '꼴찌'",0
'불확실성' 엎친 데 '투매 공포' 덮쳐.. 1900선도 빨간불,0
장 중 기업공시,0
장 마감 후 기업공시,0
"한국 증시 부진, 편중된 경제구조가 문제",0
오늘의 증시 메모,0
오늘의 재운,0
유형별 펀드 자금 동향(8월 2일),0
'바이오 쇼크'에 속수무책..코스닥 시총 하루 약 16조원 증발,0
"GS홈쇼핑, 2분기 영업익 326억..전년비 3.8%↓",0
"뉴욕증시, 위안화 안정에 안도 상승 출발",0
"DB금융투자, 코스피200레버리지 지수 ELS 등 3종 판매",0
케어룸의료산업 코넥스 신규상장,0
"KCC, 2분기 영업이익 531억·매출 8679억",0
6일 장 마감 후 주요 종목 뉴스,0
아시아 주요 증시 동향(8월 6일),0
환율전쟁 공포 커졌는데 왜 엔화는 하락했을까?,0
"제이콘텐트리, 최대 주주 변경 수반 주식담보 계약",0
장 마감 후 기업공시,0
코리아나 최대 주주 유학수 대표이사로 변경,0
"06일, 기관 코스닥에서 상상인(-24.92%), 로스웰(-29.87%) 등 순매도",0
"06일, 외국인 코스닥에서 에이치엘비(-9.45%), 동진쎄미켐(-8.67%) 등 순매도",0
"06일, 코스닥 기관 순매수상위에 연구·개발 업종 3종목",0
"06일, 외국인 코스닥에서 셀트리온헬스케어(+0.88%), 아난티(0.00%) 등 순매수",0
"06일, 기관 거래소에서 KODEX 레버리지(-2.8%), KODEX 코스닥150 레버리지(-4.71%) 등 순매도",0
"06일, 거래소 외국인 순매도상위에 전기,전자 업종 4종목",0
"06일, 기관 거래소에서 삼성전자(-1.02%), SK하이닉스(-4.51%) 등 순매수",0
"06일, 외국인 거래소에서 셀트리온(+0.69%), 현대엘리베이(-3.11%) 등 순매수",0
"코넥스, 107개 종목 거래..거래대금 1위 '툴젠'",0
"""영업-본점 협업했더니 새 수익모델 생겼죠""",0
사흘간 1.4조 매수.. '구원투수' 연기금,0
"케이씨씨, 2분기 영업익 531억원..전년比 38.4%↓",0
투자주체별 매매동향(8월 6일-최종치),0
코스닥 기관·외국인·개인 순매수·도 상위종목(8월 6일-최종치),0
"제이콘텐트리, 최대주주 변경 수반 주식 담보제공 계약 체결",0
"누리플랜, 플랜트사업 진출로 주가에 날개 달까",0
"셀루메드, 63억원 규모 전환사채 발행",0
유가증권 기관·외국인·개인 순매수·도 상위종목(8월 6일-최종치),0
'공매도 금지' 카드 꺼내든 당국..패닉장세 진정제 될까,0
"""주식은 떨어지는 칼날인데"" 채권·달러만 찾는 자산가들",0
"월급쟁이, 평균대출액 4076만원..다중채무 직장인은 1억1000만원",0
"뉴욕증시, 홍콩 불안도 가세 하락 출발",0
"韓증권사, 오스트리아 빈 힐튼 인수",0
코스피 사흘째 올라 1940선 회복..코스닥 590대 강세,0
"日 외무 부대신 ""韓의 백색국가 제외..WTO 위반""",0
오늘의 재운,0
장 마감 후 기업공시,0
아시아 주요 증시 동향(8월 12일),0
"YG PLUS, 2분기 영업익 21억·순익 6억..흑자전환",0
'소잃고 외양간 고쳐봐야'..사과·해명에도 주가 '날개잃은 추락',0
"와이오엠, 200억원 규모 3자배정 유상증자 결정",0
"거래소 ""셀바스헬스케어 관리종목지정 우려 거래정지""",0
"코넥스, 103개 종목 거래..거래대금 1위 '툴젠'",0
"지티지웰니스, 29억원 규모 파생상품 평가 손실 발생",0
'송환법' 반대 시위대 홍콩 공항 점령..여객기 운항 중단,0
"인터파크·아이마켓코리아, 실적 개선에 주가 날아오를까",0
"한국투자증권 하이켄드리엄 글로벌4차산업펀드, 4차산업 핵심 분야 기업에 투자",0
"KB증권 KB글로벌리얼에셋인컴펀드, 부도율 낮고 회수율 높아 안정적",0
"신한금융투자 신한명품 스마트전단채랩·6M,  단기운용 금리변동 영향 최소화",0
변동성 커진 금융시장 .. 중위험 · 중수익 상품 노려볼까,0
"NH투자증권 NH-Amundi Allset 국채10년 인덱스펀드, 국내 유일 10년물 국채지수 추종",0
"하나금융투자 하나UBS PIMCO 글로벌인컴펀드, 4800여개 글로벌 채권자산 활용",0
"메리츠종금증권 메리츠 펀드마스터 Wrap, 중도해지 가능 .. 수수료도 없어",0
"印증시 센섹스지수, 0.68% 상승 마감",0
"웅진, 웅진플레이도시에 950억원 자금보충약정 제공",0
"메디파트너생명공학, 50억원 규모 전환사채 발행",0
"넥스트사이언스, 전환사채 100억원 조기 상환",0
"12일, 기관 코스닥에서 오이솔루션(-6.14%), 오스템임플란트(-19.25%) 등 순매도",0
"12일, 외국인 코스닥에서 케이엠더블유(-4.87%), 오이솔루션(-6.14%) 등 순매도",0
"12일, 기관 코스닥에서 AP시스템(+6.37%), 오션브릿지(+6.82%) 등 순매수",0
"뉴욕증시, 2년·10년 美 금리 역전에 침체 공포 급락 출발",0
"한온시스템 반기(누적) 매출액 3조 3332억원, 영업이익 2057억원 (연결 기준)",0
"LG하우시스 반기(누적) 매출액 1조 5933억원, 영업이익 407억원 (연결 기준)",0
"LG이노텍 반기(누적) 매출액 2조 8910억원, 영업이익 74억원 (연결 기준)",0
"호텔신라 반기(누적) 매출액 2조 6981억원, 영업이익 1609억원 (연결 기준)",0
"지트리비앤티 반기(누적) 매출액 180억원, 영업손실 33억원 (연결 기준)",0
"현대제철 반기(누적) 매출액 10조 6435억원, 영업이익 4451억원 (연결 기준)",0
"두산중공업 반기(누적) 매출액 7조 8064억원, 영업이익 7077억원 (연결 기준)",0
"원익IPS 반기(누적) 매출액 3312억원, 영업이익 406억원 (연결 기준)",0
"BGF리테일 반기(누적) 매출액 2조 8663억원, 영업이익 873억원 (연결 기준)",0
"대우건설 반기(누적) 매출액 4조 2617억원, 영업이익 2003억원 (연결 기준)",0
"LG전자 반기(누적) 매출액 30조 5443억원, 영업이익 1조 5529억원 (연결 기준)",0
"대상 반기(누적) 매출액 1조 4548억원, 영업이익 719억원 (연결 기준)",0
"한세실업 반기(누적) 매출액 8524억원, 영업이익 242억원 (연결 기준)",0
"한전KPS 반기(누적) 매출액 5715억원, 영업이익 734억원 (연결 기준)",0
"현대홈쇼핑 반기(누적) 매출액 1조 904억원, 영업이익 791억원 (연결 기준)",0
"인터플렉스 반기(누적) 매출액 1535억원, 영업손실 52억원 (연결 기준)",0
"한화케미칼 반기(누적) 매출액 4조 6104억원, 영업이익 1959억원 (연결 기준)",0
"대웅제약 반기(누적) 매출액 5563억원, 영업이익 354억원 (연결 기준)",0
"고려아연 반기(누적) 매출액 3조 2394억원, 영업이익 4196억원 (연결 기준)",0
"무학 반기(누적) 매출액 908억원, 영업손실 61억원 (연결 기준)",0
"에스티팜 반기(누적) 매출액 338억원, 영업손실 128억원 (연결 기준)",0
"솔브레인 반기(누적) 매출액 5035억원, 영업이익 889억원 (연결 기준)",0
"효성 반기(누적) 매출액 1조 6814억원, 영업이익 1458억원 (연결 기준)",0
"BGF 반기(누적) 매출액 1160억원, 영업이익 103억원 (연결 기준)",0
"녹십자랩셀 반기(누적) 매출액 273억원, 영업손실 14억원",0
"HDC현대산업개발 반기(누적) 매출액 2조 3301억원, 영업이익 2973억원 (연결 기준)",0
"셀트리온제약 반기(누적) 매출액 812억원, 영업이익 55억원 (연결 기준)",0
"풍산 반기(누적) 매출액 1조 1810억원, 영업이익 242억원 (연결 기준)",0
"한화에어로스페이스 반기(누적) 매출액 2조 3535억원, 영업이익 731억원 (연결 기준)",0
"뉴욕증시, 유통기업 실적 호조 상승 출발",0
"증선위, 회계처리기준 위반 정임건설에 증권발행 제한",0
MBS 절반도 안팔리자..채권금리 화들짝,0
"종근당홀딩스, 최장원 대표이사 선임",0
"코스콤, 로봇 프로세스 자동화 시장 진출",0
"에스마크, 상반기 검토의견 거절..상장폐지사유 해당",0
"남산 그랜드하얏트 호텔, 홍콩계 PEF가 인수한다",0
"증선위, '회계처리 위반' 정임건설 증권발행 제한",0
"코스콤, 로봇 이용한 업무자동화 솔루션 도입",0
아시아 주요 증시 동향(8월 21일),0
"증선위, 회계처리기준 위반 정임건설에 증권발행 제한",0
21일 장 마감 후 주요 종목뉴스,0
이데일리 '내일의 경제일정'-지소미아 연장 여부 관심,0
"증선위, 재무제표 허위계상 건설사·감사인 제재",0
"증선위, 회계처리 기준위반 정임건설에 증권발행 제한·감사인지정",0
"에스엔텍, 바젠으로 최대주주 변경",0
'회계처리기준 위반' 정임건설 8개월 증권발행 제한,0
장 마감 후 기업공시,0
"21일, 기관 코스닥에서 엔에이치스팩11호(+11.13%), 줌인터넷(-4.86%) 등 순매도",0
"21일, 외국인 코스닥에서 에이치엘비(-0.3%), 셀트리온헬스케어(+1.44%) 등 순매도",0
"21일, 코스닥 기관 순매수상위에 반도체 업종 4종목",0
"21일, 외국인 코스닥에서 이오테크닉스(+6.21%), 메디톡스(+5.88%) 등 순매수",0
"21일, 기관 거래소에서 SK하이닉스(-0.79%), 효성첨단소재(+2.36%) 등 순매도",0
